episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count
20,19202,150.0,7,360,0.757947,0.1331,True,False,body,70.0,90.0,-10.0,18,1
21,19635,116.0,6,433,0.754126,0.1387,True,False,body,60.0,66.0,-10.0,39,1
22,19968,189.0,11,333,0.751201,0.1369,True,False,body,110.0,89.0,-10.0,26,1
23,20200,92.0,5,232,0.749171,0.156,True,False,body,50.0,52.0,-10.0,6,1
24,20839,233.0,11,639,0.743608,0.1222,True,False,body,110.0,133.0,-10.0,44,1
25,21256,161.0,7,417,0.740002,0.14,True,False,body,70.0,101.0,-10.0,30,1
26,21787,266.0,16,531,0.735437,0.134,True,False,body,160.0,116.0,-10.0,47,1
27,22184,160.0,8,397,0.732044,0.132,True,False,body,80.0,90.0,-10.0,18,1
28,22601,238.0,12,417,0.728498,0.1094,True,False,body,120.0,128.0,-10.0,9,1
29,22884,132.0,8,283,0.726103,0.1195,True,False,body,80.0,62.0,-10.0,20,1
30,23319,121.0,7,435,0.722436,0.1506,True,False,body,70.0,61.0,-10.0,19,1
31,23740,220.0,12,421,0.718907,0.1521,True,False,body,120.0,110.0,-10.0,21,1
32,24135,176.0,10,395,0.715612,0.1485,True,False,body,100.0,86.0,-10.0,24,1
33,24794,310.0,16,659,0.710152,0.1456,True,False,body,160.0,160.0,-10.0,53,1
34,25091,145.0,9,297,0.707706,0.1541,True,False,body,90.0,65.0,-10.0,18,1
35,25437,170.0,9,346,0.704867,0.1669,True,False,body,90.0,90.0,-10.0,18,1
36,26072,215.0,11,635,0.69969,0.154,True,False,body,110.0,115.0,-10.0,30,1
37,26377,151.0,9,305,0.697217,0.156,True,False,body,90.0,71.0,-10.0,21,1
38,26802,227.0,13,425,0.693788,0.1591,True,False,body,130.0,107.0,-10.0,28,1
39,27207,101.0,5,405,0.690537,0.1717,True,False,body,50.0,61.0,-10.0,21,1
40,27641,259.0,14,434,0.687072,0.1608,True,False,body,140.0,129.0,-10.0,35,1
41,27899,167.0,10,258,0.68502,0.1492,True,False,body,100.0,77.0,-10.0,10,1
42,28198,172.0,10,299,0.682652,0.1874,True,False,body,100.0,82.0,-10.0,24,1
43,28602,231.0,14,404,0.679465,0.1701,True,False,body,140.0,101.0,-10.0,27,1
44,28824,150.0,9,222,0.67772,0.1703,True,False,body,90.0,70.0,-10.0,5,1
45,29178,212.0,11,354,0.674949,0.1958,True,False,body,110.0,112.0,-10.0,28,1
46,29608,148.0,9,430,0.671599,0.1764,True,False,body,90.0,68.0,-10.0,24,1
47,29959,186.0,10,351,0.668877,0.165,True,False,body,100.0,96.0,-10.0,17,1
48,30166,88.0,4,207,0.667278,0.2242,True,False,body,40.0,58.0,-10.0,3,1
49,30504,191.0,12,338,0.664676,0.1876,True,False,body,120.0,81.0,-10.0,22,1
50,31079,247.0,13,575,0.660274,0.1906,True,False,body,130.0,127.0,-10.0,48,1
51,31303,126.0,7,224,0.658567,0.1927,True,False,body,70.0,66.0,-10.0,6,1
52,31674,234.0,12,371,0.655751,0.1817,True,False,body,120.0,124.0,-10.0,32,1
53,31855,133.0,9,181,0.654382,0.1828,True,False,body,90.0,53.0,-10.0,6,1
54,32540,242.0,12,685,0.64923,0.1911,True,False,body,120.0,132.0,-10.0,92,1
55,32921,191.0,11,381,0.646383,0.1836,True,False,body,110.0,91.0,-10.0,17,1
56,33530,341.0,19,609,0.64186,0.1926,True,False,body,190.0,161.0,-10.0,31,1
57,33782,153.0,10,252,0.639998,0.1821,True,False,body,100.0,63.0,-10.0,11,1
58,34129,223.0,13,347,0.637445,0.1984,True,False,body,130.0,103.0,-10.0,20,1
59,34547,161.0,10,418,0.634383,0.1868,True,False,body,100.0,71.0,-10.0,41,1
60,34871,161.0,8,324,0.632021,0.1782,True,False,body,80.0,91.0,-10.0,20,1
61,35258,205.0,11,387,0.629213,0.1898,True,False,body,110.0,105.0,-10.0,20,1
62,35545,162.0,10,287,0.627138,0.188,True,False,body,100.0,72.0,-10.0,10,1
63,35928,228.0,12,383,0.624382,0.1674,True,False,body,120.0,118.0,-10.0,16,1
64,36103,33.0,3,175,0.623127,0.2109,True,False,wall,30.0,13.0,-10.0,6,1
65,36501,242.0,11,398,0.620283,0.1946,True,False,body,110.0,142.0,-10.0,21,1
66,36961,222.0,11,460,0.617013,0.1811,True,False,body,110.0,122.0,-10.0,16,1
